SubjectID,TrialNumber,Choice,ChoiceLabel,PlayChoice,ReactionTime,Card1,Card2,Card3,Card4,Card5,Card6,ExpectedValue,StandardDev,Condition,HighRT
22,95,2,Play,1,0.9719,7,-3,8,0,0,0,4,6.08276253,3,1
22,94,2,Play,1,0.8057,3,-6,8,0,0,0,1.666666667,7.094598885,3,1
22,32,2,Play,1,0.8381,4,2,6,0,0,0,4,2,3,0
22,42,2,Play,1,0.9917,3,-4,-1,0,0,0,-0.666666667,3.511884584,3,0
22,42,2,Play,1,0.8887,3,3,5,0,0,0,3.666666667,1.154700538,3,0
22,47,1,Pass,0,1.972,1,-2,-4,0,0,0,-1.666666667,2.516611478,3,0
22,42,2,Play,1,2.7536,3,3,-4,0,0,0,0.666666667,4.041451884,3,0
22,97,2,Play,1,0.7403,2,-5,8,0,0,0,1.666666667,6.506407099,3,1
22,91,2,Play,1,0.7219,4,9,6,0,0,0,6.333333333,2.516611478,3,1
22,42,2,Play,1,1.068,-1,-4,3,0,0,0,-0.666666667,3.511884584,3,0
22,32,2,Play,1,0.7411,-7,3,6,0,0,0,0.666666667,6.806859286,3,0
22,32,2,Play,1,1.3536,3,6,6,0,0,0,5,1.732050808,3,0
22,91,2,Play,1,1.8064,6,-9,9,-8,4,-1,0.166666667,7.467708261,6,1
22,42,2,Play,1,0.7718,-4,3,5,0,0,0,1.333333333,4.725815626,3,0
22,10,1,Pass,0,1.6404,-8,-2,-6,0,0,0,-5.333333333,3.055050463,3,0
22,94,2,Play,1,0.8916,-6,-9,9,0,0,0,-2,9.643650761,3,1
22,97,2,Play,1,1.1545,9,-7,-5,0,0,0,-1,8.717797887,3,1
22,47,2,Play,1,1.1136,2,-2,-4,0,0,0,-1.333333333,3.055050463,3,0
22,95,1,Pass,0,1.4756,-3,-9,-7,0,0,0,-6.333333333,3.055050463,3,1
22,94,2,Play,1,1.5223,3,9,-7,0,0,0,1.666666667,8.082903769,3,1
22,95,2,Play,1,0.7914,-3,8,7,0,0,0,4,6.08276253,3,1
22,91,2,Play,1,1.0934,-8,-9,6,0,0,0,-3.666666667,8.386497084,3,1
22,10,2,Play,1,1.2418,4,-8,-2,0,0,0,-2,6,3,0
22,47,2,Play,1,1.0063,-4,2,-3,0,0,0,-1.666666667,3.214550254,3,0
22,42,2,Play,1,0.9561,5,5,-4,0,0,0,2,5.196152423,3,0
22,91,2,Play,1,0.8235,-8,9,-1,0,0,0,0,8.544003745,3,1
22,97,2,Play,1,0.707,2,8,-8,0,0,0,0.666666667,8.082903769,3,1
22,97,2,Play,1,0.873,-7,2,8,0,0,0,1,7.549834435,3,1
22,97,2,Play,1,0.9079,2,-5,9,0,0,0,2,7,3,1
22,47,2,Play,1,0.8059,1,-4,-3,0,0,0,-2,2.645751311,3,0
22,10,2,Play,1,1.1245,-2,-8,-7,4,-6,5,-2.333333333,5.680375574,6,0
22,47,2,Play,1,0.9403,1,-2,-4,0,0,0,-1.666666667,2.516611478,3,0
22,91,2,Play,1,1.4558,6,-9,9,0,0,0,2,9.643650761,3,1
22,97,2,Play,1,0.8065,2,9,-5,-7,8,-8,-0.166666667,7.574078602,6,1
23,95,2,Play,1,5.958,8,-9,7,0,0,0,2,9.539392014,3,1
