SubNum,TrialNumber,Card1,Card2,Card3,Card4,Card5,Card6,EV,std,infoS,infoValue,infoS_normalized
9266,2,3,-7,6,-6,1,7,0.666666666666667,5.95538971576728,0.738425926,0.666666667,-1.34475211890143
9266,92,8,-8,5,-8,2,1,0,6.66333249958307,1.479166667,1.066666667,0.709382580753068
9266,44,6,-8,-1,-1,5,-3,-0.333333333333333,5.20256347070045,0.761574074,0.733333333,-1.28056040997052
9266,22,7,-6,-1,-1,-5,2,-0.666666666666667,4.76095228569523,1.493055556,0.5,0.74789760666623
9266,89,9,-8,-9,1,-3,9,-0.166666666666667,7.96031825159438,1.5,1.216666667,0.767155118236269
9266,82,8,-9,8,3,-9,-2,-0.166666666666667,7.78245890876827,1.476851852,1.216666667,0.70296340930536
9266,58,-6,3,-2,1,-4,7,-0.166666666666667,4.79235502302017,1.444444444,0.733333333,0.613095014583622
9266,6,6,-5,-7,1,-1,-3,-1.5,4.63680924774785,1.493055556,0.233333333,0.74789760666623
9266,83,-4,3,8,-9,-8,8,-0.333333333333333,7.71146332849134,1.49537037,1.166666667,0.754316775340855
9266,26,-8,-7,4,-8,7,-3,-2.5,6.53452370108182,1.469907407,0.3,0.683705894962239
9266,43,-3,-9,9,6,2,2,1.16666666666667,6.431692364119,0.891203704,0.6,-0.921086836629732
9266,85,8,8,-9,1,-9,-2,-0.5,7.66159252375118,1.476851852,0.983333333,0.70296340930536
9266,36,-5,8,9,7,-5,-8,1,7.77174369109018,1.125,0.9,-0.272750573099853
9266,81,-8,-9,8,1,-3,9,-0.333333333333333,7.73735527597555,1.416666667,1.1,0.536064965530381
9266,65,1,3,-8,8,-3,-3,-0.333333333333333,5.57374799095426,1.425925926,0.8,0.561741648548128
9266,13,-1,-2,1,3,-6,-2,-1.16666666666667,3.06050104830347,1.430555556,0.116666667,0.574579991443543
9266,99,6,-7,-9,2,8,-1,-0.166666666666667,6.85322308601337,1.474537037,1.033333333,0.696544237857653
9266,98,8,3,-7,-9,9,-9,-0.833333333333333,8.49509662491644,1.328703704,1.083333333,0.292136469929077
9266,90,3,-5,9,-9,-8,9,-0.166666666666667,8.25631071766722,1.474537037,1.35,0.696544237857653
9266,11,-9,-2,-4,3,7,1,-0.666666666666667,5.60951572479004,1.099537037,0.65,-0.343361453478469
9266,57,3,-1,5,-4,-9,-2,-1.33333333333333,5.00666222813829,1.453703704,0.316666667,0.638771700374452
9266,46,8,8,-4,-6,8,-2,2,6.6932802122726,1.462962963,0.3,0.664448383392199
9266,49,-3,2,-4,6,-2,9,1.33333333333333,5.27888877195444,1.488425926,0.366666667,0.735059263770815
9266,40,4,3,-7,7,1,1,1.5,4.72228758124704,1.222222222,0.25,-0.00314539448080205
9266,27,-9,-3,7,-3,1,-3,-1.66666666666667,5.3166405433005,1.430555556,0.3,0.574579991443543
9266,3,1,-3,-6,8,-7,3,-0.666666666666667,5.75036230742609,1.474537037,0.683333333,0.696544237857653
9266,73,4,-3,-7,-7,4,3,-1,5.32916503778969,1.418981481,0.433333333,0.542484134205006
9266,53,4,-8,-6,-1,-7,2,-2.66666666666667,5.04645089807348,0.784722222,0.083333333,-1.21636870103961
9266,7,6,-7,2,1,-5,6,0.5,5.46808924579693,0.800925926,0.65,-1.17143450367874
9266,19,5,-4,-1,-2,8,8,2.33333333333333,5.3166405433005,1.476851852,0.133333333,0.70296340930536
9266,50,-8,-4,4,-5,2,6,-0.833333333333333,5.60059520646392,0.944444444,0.583333333,-0.773445907197874
9266,52,9,1,1,7,-4,1,2.5,4.72228758124704,1.493055556,0.1,0.74789760666623
9266,17,-3,7,3,-5,-9,8,0.166666666666667,6.88234456175123,0.80787037,1.083333333,-1.1521769921087
9266,35,-5,-3,-5,-8,-4,-9,-5.66666666666667,2.33809038890002,1.479166667,0,0.709382580753068
9266,96,9,-5,-8,3,2,-1,0,6.06630035524124,0.770833333,1.033333333,-1.25488372695277
