SubNum,trialNumber,originalTrial,infoNorm,infoValue,choice,randNum,trialEV,trialVar,Card1,Card2,Card3,Card4,Card5,Card6,newCard1,newCard2,newCard3,newCard4,newCard5,newCard6
183,33,13389,0.633333333,0.984375,1,0.603212805,-1.166666667,6.968978883,7,8,-7,-7,-6,-2,7,999,999,-7,-6,999
183,34,14370,1.133333333,1.5,2,1.168232029,0,6.603029608,8,-6,6,3,-8,-3,8,-6,6,999,999,999
183,35,14846,0.9,1.156901042,1,0.576864226,0,5.727128425,-1,-4,9,-5,5,-4,-1,-4,999,-5,999,999
183,36,15868,0.333333333,1.147135417,2,0.284666773,2.166666667,6.369196705,6,5,6,-9,-2,7,999,5,6,-9,999,999
183,37,15894,0.25,0.531901042,1,0.930781834,-3,7.293833012,8,-2,3,-9,-9,-9,999,-2,3,999,999,-9
183,38,16433,1.216666667,1.108072917,2,1.029842867,0.166666667,7.386925387,8,8,-4,-8,-7,4,8,999,999,-8,999,4
183,39,16615,0.233333333,1.069010417,2,0.678107281,3.166666667,7.22264956,9,5,7,-9,9,-2,999,999,7,-9,9,999
183,40,17017,0.316666667,1.322916667,2,0.078436124,2.333333333,6.742897498,9,6,1,-5,-6,9,9,6,999,999,999,9
183,41,18039,0,0,2,1.439944497,5.5,4.460941605,5,9,9,6,-3,7,5,999,999,6,999,7
183,42,18873,0,0,1,0.648351216,-3.5,6.284902545,-7,-8,-4,-6,-5,9,-7,-8,999,999,-5,999
183,43,19072,0.6,0.75,1,0.272887517,0.833333333,5.671566509,5,9,-3,3,-4,-5,5,999,-3,999,999,-5
183,44,19321,1.05,1.124348958,2,0.764417077,0.5,7.503332593,8,-4,-9,9,4,-5,999,-4,999,9,4,999
183,45,19723,0.15,0.531901042,2,1.165864655,3,6.32455532,8,6,5,-1,-8,8,999,6,999,999,-8,8
183,46,20244,0.65,1.150390625,1,0.571817865,1,6.449806199,-1,1,-1,7,9,-9,-1,999,999,7,999,-9
183,47,20254,0.2,0,2,0.975978624,1.666666667,4.273952113,1,-2,-1,-2,7,7,999,999,-1,-2,7,999
183,48,20615,0.566666667,0.548177083,1,0.292287698,0.666666667,5.278888772,-1,-1,8,6,-6,-2,999,999,999,6,-6,-2
183,49,20863,0,0,2,0.39837902,6.5,1.643167673,5,8,5,9,6,6,999,8,999,9,999,6
183,50,21213,0.333333333,1.156901042,2,0.434679247,2.166666667,6.615638039,6,-2,3,6,9,-9,6,999,3,999,9,999
183,51,21285,0.433333333,1.0234375,1,1.33465055,-1.333333333,5.715476066,4,-5,-4,-2,-8,7,4,999,999,-2,999,7
183,52,21339,1.533333333,0.75,2,0.212219566,0,8.532291603,-9,8,8,7,-5,-9,999,999,8,7,-5,999
183,53,22117,0.716666667,0.385416667,2,0.006924146,-1,6.782329983,7,-7,-9,4,4,-5,7,999,-9,999,4,999
183,54,22125,0.483333333,1.27734375,1,0.786607556,-1.833333333,7.026141663,-8,2,9,1,-9,-6,-8,999,9,999,999,-6
183,55,23508,0.25,1.08203125,2,0.969032815,1.5,4.460941605,1,2,1,9,-5,1,999,999,1,9,999,1
183,56,24302,0.766666667,0.766276042,1,0.79824113,0.5,5.787918451,-9,9,-1,1,1,2,999,9,-1,999,1,999
183,57,24550,0,0,1,1.053548845,-3.833333333,5.706721184,-3,-8,-8,-7,7,-4,-3,999,-8,999,999,-4
183,58,24712,0.033333333,1.069010417,2,0.732223898,3.333333333,5.680375574,7,1,-7,4,8,7,999,1,-7,999,8,999
183,59,26294,0.116666667,0.75,2,0.34593098,1.666666667,3.881580434,-4,3,-1,4,7,1,-4,3,999,4,999,999
183,60,26489,0.133333333,1.222005208,2,0.586292262,2.5,5.468089246,-6,-1,4,2,7,9,999,999,4,999,7,9
183,61,26719,0,0,1,1.367261998,-2.833333333,4.262237284,-6,-7,-4,-3,5,-2,-6,999,999,-3,5,999
183,62,27119,0.766666667,0.740234375,1,1.175298686,0.5,6.123724357,7,-5,4,-9,3,3,7,999,4,999,3,999
183,63,28340,0.016666667,1.059244792,2,0.531020039,3.5,5.244044241,9,6,-2,5,7,-4,9,999,999,5,7,999
